"filename", "language", "Python", "Ini", "JSON", "Shell Script", "comment", "blank", "total"
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\config.py", "Python", 25, 0, 0, 0, 11, 6, 42
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\__init__.py", "Python", 28, 0, 0, 0, 11, 8, 47
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\main\__init__.py", "Python", 3, 0, 0, 0, 0, 2, 5
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\main\views.py", "Python", 22, 0, 0, 0, 1, 10, 33
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\migrate.sh", "Shell Script", 0, 0, 0, 4, 0, 0, 4
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\statistics\__init__.py", "Python", 3, 0, 0, 0, 0, 2, 5
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\statistics\forms.py", "Python", 51, 0, 0, 0, 0, 20, 71
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\statistics\models.py", "Python", 60, 0, 0, 0, 0, 34, 94
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\statistics\views.py", "Python", 347, 0, 0, 0, 181, 149, 677
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\users\__init__.py", "Python", 3, 0, 0, 0, 0, 2, 5
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\users\forms.py", "Python", 37, 0, 0, 0, 0, 17, 54
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\users\models.py", "Python", 14, 0, 0, 0, 0, 4, 18
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\diabeticare\users\views.py", "Python", 91, 0, 0, 0, 27, 41, 159
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\migrations\alembic.ini", "Ini", 0, 38, 0, 0, 0, 13, 51
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\migrations\env.py", "Python", 41, 0, 0, 0, 32, 19, 92
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\migrations\versions\3739e953f4cd_.py", "Python", 67, 0, 0, 0, 12, 7, 86
"c:\Users\Sondre\Documents\UIT\INF-3780\backend\diabeticare\src\wsgi.py", "Python", 2, 0, 0, 0, 0, 1, 3
"Total", "-", 794, 38, 6, 4, 275, 335, 1452